{'name': '14_#2', 'I0': 2.0, 'gamma': 1.8, 'TL_mst': 59.200000000000003, 'MD_mst': 502.00000000000006, 'TL': 76.799999999999983, 'MD': 430.0, 'cost': 1.2972972972972969, 'performance': 0.85657370517928277, 'fault tolerance': 0.8421052631578947, 'efficiency': 0.64912280701754399}
{'name': '14_#3', 'I0': 2.0, 'gamma': 1.8, 'TL_mst': 60.200000000000003, 'MD_mst': 375.10000000000002, 'TL': 95.0, 'MD': 354.89999999999998, 'cost': 1.5780730897009967, 'performance': 0.94614769394828035, 'fault tolerance': 0.75, 'efficiency': 0.47526315789473683}
{'name': '15_#1', 'I0': 2.2, 'gamma': 1.8, 'TL_mst': 42.100000000000001, 'MD_mst': 401.40000000000009, 'TL': 58.999999999999993, 'MD': 353.90000000000009, 'cost': 1.4014251781472682, 'performance': 0.8816641753861485, 'fault tolerance': 0.875, 'efficiency': 0.6243644067796611}
{'name': '15_#2', 'I0': 2.4, 'gamma': 1.8, 'TL_mst': 85.700000000000003, 'MD_mst': 726.79999999999995, 'TL': 144.59999999999997, 'MD': 602.70000000000005, 'cost': 1.6872812135355888, 'performance': 0.82925151348376458, 'fault tolerance': 0.9714285714285714, 'efficiency': 0.57573602054929873}
{'name': '15_#3', 'I0': 2.4, 'gamma': 1.8, 'TL_mst': 51.599999999999994, 'MD_mst': 421.59999999999991, 'TL': 88.700000000000017, 'MD': 395.69999999999999, 'cost': 1.7189922480620161, 'performance': 0.93856736242884264, 'fault tolerance': 0.9130434782608695, 'efficiency': 0.53115043380226434}
{'name': '16_#1', 'I0': 2.8, 'gamma': 1.8, 'TL_mst': 58.500000000000007, 'MD_mst': 513.0, 'TL': 110.2, 'MD': 434.99999999999994, 'cost': 1.8837606837606835, 'performance': 0.8479532163742689, 'fault tolerance': 1.0, 'efficiency': 0.53085299455535395}
{'name': '16_#2', 'I0': 2.8, 'gamma': 1.8, 'TL_mst': 72.599999999999994, 'MD_mst': 563.20000000000005, 'TL': 141.50000000000003, 'MD': 471.09999999999997, 'cost': 1.949035812672177, 'performance': 0.8364701704545453, 'fault tolerance': 1.0, 'efficiency': 0.51307420494699629}
{'name': '16_#3', 'I0': 2.8, 'gamma': 1.8, 'TL_mst': 61.5, 'MD_mst': 554.79999999999995, 'TL': 107.5, 'MD': 470.59999999999997, 'cost': 1.7479674796747968, 'performance': 0.84823359769286233, 'fault tolerance': 0.9285714285714286, 'efficiency': 0.53122923588039872}
{'name': '17_#1', 'I0': 3.2, 'gamma': 1.8, 'TL_mst': 60.200000000000003, 'MD_mst': 525.60000000000002, 'TL': 92.0, 'MD': 409.80000000000001, 'cost': 1.5282392026578073, 'performance': 0.77968036529680362, 'fault tolerance': 0.9230769230769231, 'efficiency': 0.6040133779264214}
{'name': '17_#2', 'I0': 3.2, 'gamma': 1.8, 'TL_mst': 64.100000000000009, 'MD_mst': 614.0, 'TL': 103.50000000000004, 'MD': 549.10000000000002, 'cost': 1.6146645865834637, 'performance': 0.894299674267101, 'fault tolerance': 0.8620689655172413, 'efficiency': 0.53389971680826243}
